#separator:tab
#html:true
#tags column:47
arranjar-se	arranjar-se	arranjar-se	arreglarse	/a.ʁɐ̃.ˈʒaɾ-sɨ/	/ɐ.ʁɐ.ˈɲaʁ sɨ/	v pron	vestir-se bem	get ready	/ɡɛt ˈrɛdi/	/ɡɛt ˈrɛdi/	v			arreglarse			v				se préparer			v		sich bereit machen					arreglar-se					prepararsi										Português::Curso::A1 Português::Vocabulario::Pessoas::Tempo_livre Português::Vocabulario::Tipo_Palavra::Verbos
profissional	profissional	profissional	"<img src=""rico.webp"">"	/pɾu.fis.si.o.ˈnal/	/ pɾofisioˈnaw /	adj m/f		professional	/pɹəˈfɛʃənl̩/	/prəˈfeʃᵊnᵊl/	adj			profesional	/'bje.xo/, /'bje.xa/		adjm, adjf				professionnel					professionell					professional					professionale										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
ruivo, ruiva	ruivo, ruiva	ruivo, ruiva	"<img src=""Isabel_Magnolia.JPG"">"	/'ʁujvu/, /'ʁujvɐ/	/ ˈʁujvu | ˈʁujvɐ /	adjm , adjf		red-haired	/ˈɹɛdˈhɛrd/	/ˌredˈheəd/	adj			pelirrojo, pelirroja							roux, rousse					rothaarig					pel-roig, pel-roja					rosso, rossa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
aposentado, aposentada (PT)	aposentado, aposentada (PT)	aposentado, aposentada (PT)	"<img src=""Its_beem_18_years.JPG"">"	/ɐpuzẽ'tadu/, /ɐpuzẽ'tadɐ/	/ apozẽˈtadu | apozẽˈtadɐ | pt | /	adjm , adjf		retired	/ɹɪˈtaɪə˞d/	/rɪˈtaɪəd/	adj			jubilado, jubilada	/peˈli'rroxo/, /peˈli'rroxa/		adjm, adjf				retraité, retraitée					rentner					jubilat, jubilada					pensionato, pensionata										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sério, séria	sério, séria	sério, séria	"<img src=""Gunther Erd.webp"">"	/'sɛɾju/, /'sɛɾjɐ/	/ ˈsɛɾiu | ˈsɛɾiɐ /	adjm , adjf		serious	/ˈsɪriəs/	/ˈsɪəriəs/	adj			serio, seria	/xuβi'laðo/, /xuβi'laða/		adjm, adjf				sérieux, sérieuse					ernst					seriós, seriosa					serio, seria										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
baixo, baixa	baixo, baixa	baixo, baixa	"<img src=""Bertholdt_Levi_Height.jpg"">"	/'bajʃu/, /'bajʃɐ/	/ ˈbajʃu | ˈbajʃɐ /	adjm , adjf		short	/ˈʃɔrt/	/ˈʃɔːt/	adj			bajo, baja	/'seɾjo/, /'seɾja/		adjm, adjf				petit, petite					klein					baix, baixa					basso, bassa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo curto	cabelo curto	cabelo curto	"<img src=""Mikasa_Short_Hair.JPG"">"	/kɐ.ˈbe.ɫu ˈkuɾ.tu/	/ kaˈbɛlu ˈkuʁtu /	s + adjm		short	/ˈʃɔrt/	/ˈʃɔːt/	adj			corto, corta (pelo)	/'baxo/, /'baxa/		adjm, adjf				court (cheveux)					kurz (Haare)					curt, curta (cabell)					corti, corta (capelli)										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
tímido, tímida	tímido, tímida	tímido, tímida	"<img src=""Mikasa Shy Child SM.JPG"">"	/'timidu/, /'timidɐ/	/ ˈtʃimidu | ˈtʃimidɐ /	adjm , adjf		shy	/ˈʃaɪ/	/ˈʃaɪ/	adj			tímido, tímida	/'koɾto/, /'koɾta/		adjm, adjf				timide					schüchtern					tímid, tímida					timido, timida										Português::Curso::A1 Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Tipo_Palavra::Adjetivos
miúdo, miúda	miúdo, miúda	miúdo, miúda	"<img src=""eren_mikasa_armin__kids.jpg"">"	/mi.ˈu.du/, /mi.ˈu.dɐ/	/ miˈudu | miˈudɐ /	adjm , adjf		small	/ˈsmɔl/	/ˈsmɔːl/	adj			niño, niña	/solˈteɾa/, /solˈteɾo/		adjm, adjf				gosse					kind					xiquet, xiqueta					bambino, bambina										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
esperto, esperta	esperto, esperta	esperto, esperta	"<img src=""Carly_Strattman.JPG"">"	/ɨʃ.ˈpɛɾ.tu/, /ɨʃ.ˈpɛɾ.tɐ/	/ isˈpɛʁtu | isˈpɛʁtɐ /	adjm , adjf		smart	/ˈsmɑrt/	/ˈsmɑːt/	adj			listo, lista							malin, maligne					schlau					llest, llesta					furbo, furba										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo liso	cabelo liso	cabelo liso	"<img src=""Mikasa_Face.JPG"">"	/kɐ.ˈbe.ɫu ˈɫi.zu/	/ kaˈbɛlu ˈlizu /	sm + adjm		straight hair	/ˈstɹeɪt ˈhɛr/	/ˈstreɪt ˈheə/	adj			pelo lacio							lisses (cheveux)					glatt (Haare)					llis, llisa (cabell)					dritti, diritta (capelli)										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
sociável	sociável	sociável	"<img src=""Carly_Strattman_Wall_Sina_GB.JPG"">"	/su.si'a.vɛl/	/ sosiˈavɛw /	adj m/f		sociable	/ˈsoʊʃəbəl/	/ˈsəʊʃəbᵊl/	adj			sociable	/'liso/, /'lisa/		adjm, adjf				sociable					gesellig					sociable					socievole										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
teimoso, teimosa	teimoso, teimosa	teimoso, teimosa	"<img src=""attack-on-titan-eren-yeager-peace-sign.jpg"">"	/tei.'mo.zu/, /tei.'mo.zɐ/	/ tejˈmɔzu | tejˈmɔzɐ /	adjm , adjf		stubborn	/ˈstəbə˞n/	/ˈstʌbən/	adj			terco, terca	/so.sja'βle/		adj m/f.				têtu, têtue					stur					caparrut, caparruda					testardo, testarda										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
falador, faladora	falador, faladora	falador, faladora	"<img src=""Armin vs Eren.jpg"">"	/fɐ.lɐ'doɾ/, /fɐ.lɐ'doɾɐ/	/ falaˈdoʁ | falaˈdɔɾɐ /	adjm , adjf		talkative	/ˈtɔkətɪv/	/ˈtɔːkətɪv/	adj			hablador,a	/aβla'ðoɾ/, /aβla'ðoɾa/		adjm, adjf				élégant					elegant					elegant					elegante										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
alto, alta	alto, alta	alto, alta	"<img src=""Bertholdt_Levi.jpg"">"	/'aɫtu/, /'aɫtɐ/	/ ˈawtu | ˈawtɐ /	adjm , adjf		tall	/ˈtɔl/	/ˈtɔːl/	adj			alto, alta	/ˈalta/,/ˈalto/		adjf				grand, grande					groß					alt, alta					alto, alta										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
elegante (corpo)	elegante	elegante	"<img src=""Eren_Grown_Up.jpg"">"	/ɨɫɨ'ɡɐt(ɨ)/	/ ileˈɡɐ̃tʃi /	adj m/f		thin	/ˈθɪn/	/ˈθɪn/	adj			flaco, flaca							maigre					dünn					primat, primada					magro, magra										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
magro, magra	magro, magra	magro, magra	"<img src=""Levi_Child.JPG"">"	/'maɡɾu/, /'maɡɾɐ/	/ ˈmaɡɾu | ˈmaɡɾɐ /	adjm , adjf	"La palabra magro, y el verbo emagrecer está muy ligado a estar enfermo, así que utilizarla para describir a una persona puede resultar ofensivo.&nbsp;Cuando se quiere hacer un cumplido usar <i>""elegante"".<i></i></i>"	skinny	/ˈskɪni/	/ˈskɪni/	adj			ordenado, ordenada	/delˈɣaðo/, /delˈɣaða/		adjm, adjf				ordonné, ordonnée					ordentlich					endreçat, endreçada					ordinato, ordinata										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
arrumado, arrumada	arrumado, arrumada	arrumado, arrumada	"<img src=""Levi_barriendo.gif"">"	/ɐ.ʁuˈma.du/, /ɐ.ʁuˈma.dɐ/	/ aʁuˈmadu | aʁuˈmadɐ /	adjm , adjf		tidy	/ˈtaɪdi/	/ˈtaɪdi/	adj			cansado, cansada	/areˈɣlaðo/, /areˈɣlaða/						fatigué, fatiguée					müde					cansat, cansada					stanco, stanca										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cansada, cansado	cansada, cansado	cansada, cansado	"<img src=""Mikasa_Eren_Sleeping.jpg"">"	/kɐ̃'sɐdɐ/, /kɐ̃'sɐdu/	/ kɐ̃ˈsadɐ | kɐ̃ˈsadu /	adjm , adjf		tired	/ˈtaɪə˞d/	/ˈtaɪəd/	adj			antipático, antipática	/kan'saðo/, /kan'saða/		adjm, adjf				antipathique					unsympathisch					antipàtic, antipàtica					antipatico, antipatica										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
antipático, antipática	antipático, antipática	antipático, antipática	"<img src=""Levi_NO.JPG"">"	/ɐ̃tʃipɐ'tiku/, /ɐ̃tʃipɐ'tikɐ/	/ ɐ̃tʃiˈpatʃiku | ɐ̃tʃiˈpatʃikɐ /	adjm , adjf		unfriendly	/ˌənˈfɹɛndli/	/ʌnˈfrendli/	adj			desordenado, desordenada	/anti'patiko/, /anti'patika/		adjm, adjf				désordonné, désordonnée					unordentlich					desendreçat, desendreçada					disordinato, disordinata										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
dessarrumado, desarrumada	dessarrumado, desarrumada	dessarrumado, desarrumada	"<img src=""Hange Desarrumada.JPG"">"	/dɨsɐʁu'madu/, /dɨsɐʁu'madɐ/	/ desaʁuˈmadu | dezaʁuˈmadɐ /	adjm , adjf		untidy	/ˌənˈtaɪdi/	/ʌnˈtaɪdi/	adj			viudo, viuda	/desoɾðe'nado/, /desoɾðe'nada/		adjm, adjf				veuf, veuve					Witwer, Witwe					vidu, vídua					vedovo, vedova										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
adotada	adotada	a adotada		/ɐ ɐ.du.ˈta.dɐ/	/ a adoˈtadɐ /	adjf		adopted	/əˈdɑptəd/	/əˈdɒptɪd/				adoptada						adoptée					adoptiert					adoptada					adottata											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
adotado	adotado	o adotado		/u ɐ.du.ˈta.du/	/ u adoˈtadu /	adjm		adopted	/əˈdɑptəd/	/əˈdɒptɪd/				adoptado						adopté					adoptiert					adoptat					adottato											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
avó	avó	a avó		/ɐ ɐ.ˈvɔ/	/ a aˈvɔ /	sf		grandmother	/ˈɡɹændˌməðə˞/	/ˈɡrænmʌðə/				abuela						grand-mère					Großmutter					àvia					nonna											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
avô	avô	o avô		/u ɐ.ˈvo/	/ u aˈvo /	sm		grandfather	/ˈɡɹændˌfɑðə˞/	/ˈɡrænfɑːðə/				abuelo						grand-père					Großvater					avi					nonno											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
avós	avós	os avós		/uz ɐ.ˈvɔʃ/	/ uz aˈvɔs /	smp		grandparents	/ˈɡɹændˌpɛrənts/	/ˈɡrænpeərənts/				abuelos (pareja abuelo y abuela)						grand-parents					Großeltern					avis					nonni											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
casada	casada	a casada		/ɐ kɐ.ˈza.dɐ/	/ a kaˈzadɐ /	adjf		married	/ˈmɛrid/	/ˈmærid/				casada						mariée					verheiratet					casada					sposata											Português::Curso::A1 Português::Vocabulario::Pessoas::Amor Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
casado	casado	o casado		/u kɐ.ˈza.du/	/ u kaˈzadu /	adjm		married	/ˈmɛrid/	/ˈmærid/				casado						marié					verheiratet					casat					sposato											Português::Curso::A1 Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
casamento	casamento	o casamento		/u kɐ.zɐ.ˈmẽ.tu/	/ u kazɐˈmẽtu /	sm		wedding	/ˈwɛdɪŋ/	/ˈwedɪŋ/				boda						mariage					Hochzeit					casament					matrimonio											Português::Curso::A1 Português::Vocabulario::Pessoas::Amor Português::Vocabulario::Pessoas::Familia
cunhada	cunhada	a cunhada		/ɐ ku.ˈɲa.dɐ/	/ a kuˈɲadɐ /	sf		sister-in-law	/ˈsɪstə˞ɹənˌlɔ/	/ˈsɪstərɪnlɔː/				cuñada						belle-sœur					Schwägerin					cunyada					cognata											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
cunhado	cunhado	o cunhado		/u ku.ˈɲa.du/	/ u kuˈɲadu /	sm		brother-in-law	/ˈbɹəðə˞ɹənˌlɔ/	/ˈbrʌðərɪnlɔː/				cuñado						beau-frère					Schwager					cunyat					cognato											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
divociada	divociada	a divociada		/ɐ di.vu.si.ˈa.dɐ/	/ a dʒivosiˈadɐ /	adjf		divorced	/dəˈvɔrst/	/dɪˈvɔːst/				divorciada						divorcée					geschieden					divorciada					divorziata											Português::Curso::A1 Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
divorciado	divorciado	o divorciado		/u di.vuɾ.si.ˈa.du/	/ u dʒivoʁsiˈadu /	adjm		divorced	/dəˈvɔrst/	/dɪˈvɔːst/				divorciado						divorcé					geschieden					divorcitat					divorziato											Português::Curso::A1 Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
divórcio	divórcio	o divórcio		/u di.ˈvɔɾ.si.u/	/ u dʒiˈvɔʁsiu /	sm		divorce	/dəˈvɔrs/	/dɪˈvɔːs/				divorcio						divorce					Scheidung					divorci					divorzio											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
filha	filha	a filha		/ɐ ˈfi.ʎɐ/	/ a ˈfiʎɐ /	sf		daughter	/ˈdɔtə˞/	/ˈdɔːtə/				hija						fille					Tochter					filla					figlia											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
filho	filho	o filho		/u ˈfi.ʎu/	/ u ˈfiʎu /	sm		son	/ˈsən/	/ˈsʌn/				hijo						fils					Sohn					fill					figlio											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
filhos	filhos	os filhos		/uʃ ˈfi.ʎuʃ/	/ uʃ ˈfiʎus /	smp		children	/ˈtʃɪldɹən/	/ˈtʃɪldrən/				hijos						enfants					Kinder					fills					figli											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
genro	genro	o genro		/u ˈʒẽ.ɾu/	/ u ˈʒẽʁu /	sm		son-in-law	/ˈsənənˌlɔ/	/ˈsʌnɪnlɔː/				yerno						gendre					Schwiegersohn					gendre					genero											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
irmã	irmã	a irmã		/ɐ iɾ.ˈmɐ̃/	/ a iʁˈmɐ̃ /	sf		sister	/ˈsɪstə˞/	/ˈsɪstə/				hermana						sœur					Schwester					germana					sorella											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
irmão	irmão	o irmão		/u iɾ.ˈmɐ̃w/	/ u iʁˈmɐ̃w̃ /	sm		brother	/ˈbɹəðə˞/	/ˈbrʌðə/				hermano						frère					Bruder					germà					fratello											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
irmãos	irmãos	os irmãos		/uz iɾ.ˈmɐ̃wʃ/	/ uz iʁˈmɐ̃w̃s /	smp		brothers	/ˈbɹəðə˞z/	/ˈbrʌðəz/				hermanos						frères					Brüder					germans					fratelli											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
irmãs	irmãs	as irmãs		/ɐz iɾ.ˈmɐ̃ʃ/	/ az iʁˈmɐ̃s /	sfp		sisters	/ˈsɪstə˞z/	/ˈsɪstəz/				hermanas						sœurs					Schwestern					germanes					sorelle											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
madrastra	madrastra	a madrastra		/ɐ mɐ.ˈdɾaʃ.tɾɐ/	/ a maˈdɾastɾɐ /	sf		stepmother	/ˈstɛpˌməðə˞/	/ˈstepˌmʌðə/				madrastra						belle-mère					Stiefmutter					madrastra					matrastra											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
mãe	mãe	a mãe		/ɐ ˈmɐ̃j/	/ a ˈmɐ̃j̃ /	sf		mother	/ˈməðə˞/	/ˈmʌðə/				madre						mère					Mutter					mare					madre											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
namorada	namorada	a namorada		/ɐ nɐ.mu.ˈɾa.dɐ/	/ a nɐmoˈɾadɐ /	sf		girlfriend	/ˈɡɜ˞lˌfɹɛnd/	/ˈɡɜːlfrend/				novia						petite amie					Freundin					novia					fidanzata											Português::Curso::A1 Português::Vocabulario::Pessoas::Amor Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
namorado	namorado	o namorado		/u nɐ.mu.ˈɾa.du/	/ u nɐmoˈɾadu /	sm		boyfriend	/ˈbɔɪˌfɹɛnd/	/ˈbɔɪfrend/				novio						petit ami					Freund					novio					fidanzato											Português::Curso::A1 Português::Vocabulario::Pessoas::Amor Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
neta	neta	a neta		/ɐ ˈne.tɐ/	/ a ˈnɛtɐ /	sf		granddaughter	/ˈɡɹænˌdɔtə˞/	/ˈɡrændɔːtə/				nieta						petite-fille					Enkelin					neta					nipote											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
neto	neto	o neto		/u ˈne.tu/	/ u ˈnɛtu /	sm		grandson	/ˈɡɹændˌsən/	/ˈɡrænsʌn/				nieto						petit-fils					Enkel					net					nipote											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
nora	nora	a nora		/ɐ ˈno.ɾɐ/	/ a ˈnɔɾɐ /	sf		daughter-in-law	/ˈdɔtə˞ɹɪnˌlɔ/	/ˈdɔːtərɪnlɔː/				nuera						belle-fille					Schwiegertochter					nora					nuora											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
orfã	orfã	a orfã		/ɐ oɾ.ˈfɐ̃/	/ a oʁˈfɐ̃ /	sf		orphan	/ˈɔrfən/	/ˈɔːfᵊn/				huérfana						orpheline					Weise					òrfena					orfana											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
orfão	orfão	o orfão		/u oɾ.ˈfɐ̃w/	/ u oʁˈfɐ̃w̃ /	sm		orphan	/ˈɔrfən/	/ˈɔːfᵊn/				huérfano						orphelin					Weise					orfà					orfano											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
padrastro	padrastro	o padrastro		/u pɐ.ˈdɾaʃ.tɾu/	/ u paˈdɾastɾu /	sm		stepfather	/ˈstɛpˌfɑðə˞/	/ˈstepˌfɑːðə/				padrastro						beau-père					Stiefvater					padrastre					patrigno											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
pai	pai	o pai		/u ˈpaj/	/ u ˈpaj /	sm		father	/ˈfɑðə˞/	/ˈfɑːðə/				padre						père					Vater					pare					padre											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
pais	pais	os pais		/uʃ ˈpajʃ/	/ uʃ ˈpajs /	smp		parents	/ˈpɛrənts/	/ˈpeərənts/				padres						parents					Eltern					pares					genitori											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
prima	prima	a prima		/ɐ ˈpɾi.mɐ/	/ a ˈpɾimɐ /	sf		cousin (f)	/ˈkəzən/	/ˈkʌzᵊn/				prima						cousine					Kusine					cosina					cugina											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
primo	primo	o primo		/u ˈpɾi.mu/	/ u ˈpɾimu /	sm		cousin (m)	/ˈkəzən/	/ˈkʌzᵊn/				primo						cousin					Vetter					cosí					cugino											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
primos	primos	os primos		/uʃ ˈpɾi.muʃ/	/ uʃ ˈpɾimus /	smp		cousins (m)	/ˈkəzənz/	/ˈkʌzᵊnz/				primos						cousins					Vettern					cosins					cugini											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
sobrinha	sobrinha	a sobrinha		/ɐ su.ˈbɾi.ɲɐ/	/ a soˈbɾiɲɐ /	sf		niece	/ˈnis/	/ˈniːs/				sobrina						nièce					Nichte					neboda					nipote											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
sobrinho	sobrinho	o sobrinho		/u su.ˈbɾi.ɲu/	/ u soˈbɾiɲu /	sm		nephew	/ˈnɛfju/	/ˈnevjuː/				sobrino						neveu					Neffe					nebot					nipote											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
sogra	sogra	a sogra		/ɐ ˈso.gɾɐ/	/ a ˈsɔɡɾɐ /	sf		mother-in-law	/ˈməðə˞ɹənˌlɔ/	/ˈmʌðərɪnlɔː/				suegra						belle-mère					Schwiegermutter					sogra					suocera											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
sogro	sogro	o sogro		/u ˈso.gɾu/	/ u ˈsɔɡɾu /	sm		father-in-law	/ˈfɑðə˞ɹənˌlɔ/	/ˈfɑːðə(r)ɪnlɔː/				suegro						beau-père					Schwiegervater					sogre					suocero											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
solteira	solteira	a solteira		/ɐ sɔɫ.ˈtɐj.ɾɐ/	/ a sɔwˈtejɾɐ /	adjf		single (f)	/ˈsɪŋɡəl/	/ˈsɪŋɡᵊl /				soltera						célibataire					ledig					soltera					single											Português::Curso::A1 Português::Vocabulario::Pessoas::Amor Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
solteirão	solteirão	o solteirão		/u sɔɫ.tɐj.ˈɾɐ̃w/	/ u sɔwtejˈɾɐ̃w̃ /	sm		bachelor (m)	/ˈbætʃələ˞ /	/ˈbætʃᵊlə /				solterón						vieux garçon					Junggeselle					solterot					scapolo											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
solteiro	solteiro	o solteiro		/u sɔɫ.ˈtɐj.ɾu/	/ u sɔwˈtejɾu /	adjm		single (m)	/ˈsɪŋɡəl/	/ˈsɪŋɡᵊl /				soltero			adjm, adjf			célibataire					ledig					solter					single	single										Português::Curso::A1 Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
solteirona	solteirona	a solteirona		/ɐ sɔɫ.tɐj.ˈɾo.nɐ/	/ a sɔwtejˈɾonɐ /	sf		spinster (f)	/ˈspɪnstə˞ /	/ˈspɪnstə /				solterona						vieille fille					alte Jungfer					solterona					zitella											Português::Curso::A1 Português::Vocabulario::Pessoas::Amor Português::Vocabulario::Pessoas::Familia
tia	tia	a tia		/ɐ ˈti.ɐ/	/ a ˈtʃiɐ /	sf		aunt	/ˈænt/	/ˈɑːnt/				tía						tante					Tante					tia					zia											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
tio	tio	o tio		/u ˈti.u/	/ u ˈtʃiu /	sm		uncle	/ˈəŋkəl/	/ˈʌŋkᵊl/				tío						oncle					Onkel					oncle					zio											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
tios	tios	os tios		/uʃ ˈti.uʃ/	/ uʃ ˈtʃius /	smp		aunts and uncles	/ˈænts ənd ˈəŋkəlz/	/ˈɑːnts ənd ˈʌŋkᵊlz/				tíos						oncles					Onkel und Tanten					oncles					zii											Português::Curso::A1 Português::Vocabulario::Pessoas::Familia
viúva	viúva	a viúva		/ɐ vi.ˈu.vɐ/	/ a viˈuvɐ /	sf		widow	/ˈwɪdoʊ/	/ˈwɪdəʊ/				viuda						veuve					Witwe					viuda					vedova											Português::Curso::A1 Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
viúvo	viúvo	o viúvo		/u vi.ˈu.vu/	/ u viˈuvu /	sm		widower	/ˈwɪdəwə˞/	/ˈwɪdəʊə/				viudo	/ˈbwido/ , /ˈbwida/		adjm, adjf			veuf					Witwer					viudo					vedovo											Português::Curso::A1 Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Pessoas::Familia
acanhado, acanhada	acanhado, acanhada	acanhado, acanhada	"<img src=""Armin Shy.JPG"">"	/ɐ.kɐ.ˈɲa.du/ ,  /ɐ.kɐ.ˈɲa.dɐ/	/ akɐˈɲadu | akɐˈɲadɐ /			shy	/ˈʃaɪ/	/ˈʃaɪ/				tímido							honteux					schüchtern					acanhat					timido										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Tipo_Palavra::Adjetivos
afável	afável	afável	"<img src=""Marco_Bott_02.JPG"">"	/ɐ.ˈfa.vɛɫ/	/ aˈfavɛw /			affable	/ˈæfəbəl/	/ˈæfəbᵊl/				afable							affable					freundlich					afable					amichevole										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
